Data,Abertura,Máxima,Mínima,Fechamento,Exemplo [21 Close 1]
25/08/2023 17:55:00.472,"4878,00","4881,50","4877,00","4877,00","-1,00"
25/08/2023 17:49:24.372,"4880,00","4880,50","4878,00","4878,00","0,00"
25/08/2023 17:14:11.589,"4882,00","4886,00","4880,00","4880,00","0,00"
25/08/2023 16:53:00.310,"4882,00","4884,00","4879,50","4884,00","0,00"
25/08/2023 16:50:00.150,"4880,00","4882,00","4880,00","4882,00","0,00"
25/08/2023 16:30:37.522,"4878,00","4880,00","4875,50","4880,00","0,00"
25/08/2023 16:29:32.207,"4876,00","4878,00","4875,00","4878,00","1,00"
25/08/2023 16:29:05.581,"4874,00","4876,00","4874,00","4876,00","0,00"
25/08/2023 15:28:30.212,"4872,00","4874,00","4868,00","4874,00","0,00"
25/08/2023 15:18:30.357,"4872,00","4872,50","4870,00","4870,00","0,00"
25/08/2023 15:15:11.202,"4874,00","4876,50","4872,00","4872,00","0,00"
25/08/2023 15:13:09.076,"4876,00","4876,50","4874,00","4874,00","0,00"
25/08/2023 15:09:15.164,"4878,00","4879,00","4876,00","4876,00","0,00"
25/08/2023 15:00:52.444,"4880,00","4882,50","4878,00","4878,00","-1,00"
25/08/2023 14:50:45.217,"4880,00","4882,00","4877,50","4882,00","0,00"
25/08/2023 14:32:38.801,"4880,00","4883,00","4878,00","4878,00","0,00"
25/08/2023 14:26:35.591,"4880,00","4882,00","4877,50","4882,00","0,00"
25/08/2023 14:25:31.637,"4878,00","4880,00","4878,00","4880,00","0,00"
25/08/2023 14:15:12.277,"4876,00","4878,00","4873,00","4878,00","0,00"
25/08/2023 14:00:46.802,"4876,00","4878,00","4874,00","4874,00","0,00"
25/08/2023 13:45:24.583,"4878,00","4882,00","4876,00","4876,00","0,00"
25/08/2023 13:30:49.841,"4878,00","4880,00","4874,00","4880,00","0,00"
25/08/2023 13:25:58.256,"4878,00","4880,00","4876,00","4876,00","0,00"
25/08/2023 13:14:14.214,"4880,00","4883,00","4878,00","4878,00","0,00"
25/08/2023 12:58:41.304,"4882,00","4885,00","4880,00","4880,00","0,00"
25/08/2023 12:55:00.414,"4884,00","4885,50","4882,00","4882,00","0,00"
25/08/2023 12:45:41.819,"4886,00","4889,50","4884,00","4884,00","0,00"
25/08/2023 12:44:09.869,"4886,00","4888,00","4885,00","4888,00","0,00"
25/08/2023 12:35:00.106,"4884,00","4886,00","4881,00","4886,00","0,00"
25/08/2023 12:28:16.676,"4884,00","4886,00","4882,00","4882,00","0,00"
25/08/2023 12:25:36.769,"4886,00","4888,00","4884,00","4884,00","0,00"
25/08/2023 12:25:24.323,"4888,00","4888,00","4886,00","4886,00","0,00"
25/08/2023 12:12:44.069,"4890,00","4893,50","4888,00","4888,00","0,00"
25/08/2023 12:11:42.575,"4890,00","4892,00","4887,00","4892,00","0,00"
25/08/2023 12:08:55.924,"4890,00","4892,00","4888,00","4888,00","0,00"
25/08/2023 12:08:12.264,"4892,00","4893,50","4890,00","4890,00","0,00"
25/08/2023 12:00:47.421,"4894,00","4896,50","4892,00","4892,00","0,00"
25/08/2023 12:00:06.031,"4896,00","4897,00","4894,00","4894,00","0,00"
25/08/2023 11:50:19.669,"4898,00","4900,50","4896,00","4896,00","0,00"
25/08/2023 11:50:06.628,"4900,00","4900,00","4898,00","4898,00","-1,00"
25/08/2023 11:48:40.488,"4902,00","4903,00","4900,00","4900,00","0,00"
25/08/2023 11:45:13.059,"4904,00","4906,50","4902,00","4902,00","0,00"
25/08/2023 11:44:23.381,"4904,00","4906,00","4902,50","4906,00","0,00"
25/08/2023 11:41:06.761,"4902,00","4904,00","4898,00","4904,00","0,00"
25/08/2023 11:38:24.402,"4902,00","4904,50","4900,00","4900,00","0,00"
25/08/2023 11:37:12.713,"4904,00","4906,50","4902,00","4902,00","0,00"
25/08/2023 11:36:26.614,"4904,00","4906,00","4902,50","4906,00","0,00"
25/08/2023 11:34:28.399,"4902,00","4904,00","4898,50","4904,00","0,00"
